# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "8" "-p" "-a" "../Indices/USDA_Cmelo_AY_1.0/GCF_025177605.1_USDA_Cmelo_AY_1.0_genomic.gtf" "-o" "../Quantification/USDA_Cmelo_AY_1.0/GCF_025177605.1_USDA_Cmelo_AY_1.0.txt" "CK21_FR.bam" "CK22-1_FR.bam" "CK22-2_FR.bam" "CK23_FR.bam" "T21_FR.bam" "T22_FR.bam" "T23_FR.bam" "T24_FR.bam" 
Geneid,CK21_FR.bam,CK22-1_FR.bam,CK22-2_FR.bam,CK23_FR.bam,T21_FR.bam,T22_FR.bam,T23_FR.bam,T24_FR.bam
LOC103488387,0,0,0,0,0,0,0,0
LOC103488386,62,50,79,58,83,32,36,78
LOC103488569,2241,1881,2242,2131,2423,2046,1556,2693
LOC103488385,54,62,122,150,326,447,158,465
LOC103488381,162,257,233,184,219,280,76,173
LOC103488383,56,48,51,19,91,69,59,105
LOC103488384,242,204,235,280,323,345,161,300
LOC103488380,249,242,212,520,534,368,114,146
LOC103488379,6,17,4,0,22,36,2,6
MIR171E,0,0,0,0,0,0,0,0
LOC103488378,261,380,372,412,307,342,283,274
LOC103488375,73,123,76,111,93,127,121,171
LOC103488376,102,124,179,148,67,66,100,72
LOC107990288,0,0,0,0,0,0,0,0
LOC127148465,10,5,14,4,4,9,23,42
MIR394A,0,0,0,0,0,0,0,0
LOC103488374,1573,1293,1638,1679,1272,1063,618,1376
LOC103488372,4285,4787,5476,3674,2959,2890,3196,4437
LOC103488373,922,1018,1243,1239,1096,793,144,498
LOC127148702,2,2,2,6,0,0,0,0
LOC103488371,2,6,6,2,2,0,0,16
LOC103488568,43,44,35,17,36,57,4,17
LOC103488370,281,320,338,378,436,258,122,209
LOC103488369,441,353,390,307,300,343,443,448
LOC103488368,1648,1811,2172,2320,2281,2434,881,1755
LOC103488367,1138,1272,1487,1408,1104,1180,1236,1346
LOC103488366,169,131,192,220,85,163,26,128
LOC103488365,2551,2570,3048,2822,3309,3614,4413,6203
LOC103488364,219,350,311,375,373,338,179,366
LOC103488363,595,632,608,534,637,740,536,785
LOC103488362,2290,2396,2971,2137,1498,1875,1854,2947
LOC103488360,157,197,131,162,163,154,58,70
LOC103488361,442,541,560,497,347,260,111,224
LOC103488359,710,751,1035,941,1089,866,252,602
LOC103488358,2191,2320,2571,2564,1523,1574,1239,1126
LOC127148466,2344,2758,3264,2143,1925,2190,1928,2463
LOC103488357,186,85,81,75,161,219,94,304
LOC103488356,0,0,0,0,0,0,0,0
LOC103488355,1749,1586,1710,1757,1864,1530,943,1558
LOC103488567,1047,1342,1494,1909,2188,1662,463,934
LOC103488351,2716,2636,2867,2525,2231,3077,3373,3796
LOC103488352,114,126,105,110,50,89,151,148
LOC103488353,1082,903,936,939,970,906,558,957
LOC103488354,62,87,88,74,94,112,33,66
LOC103488349,255,245,311,351,207,195,28,70
LOC103488350,118,122,142,103,118,150,91,133
LOC103488347,101,125,157,105,240,175,37,58
LOC127148468,35,40,43,22,30,28,11,53
LOC127148469,1007,485,687,524,256,154,104,307
MIR156D,0,0,0,0,0,0,0,0
LOC103488346,3529,3594,4039,4108,4015,4008,2344,4610
LOC103488345,340,491,550,382,294,220,149,409
LOC103488344,8347,8305,10451,8897,10143,11858,11374,16417
LOC103488343,3669,3307,3947,3520,3237,3757,7082,6800
LOC103488342,594,451,542,322,346,301,526,1383
LOC103488341,912,708,794,902,651,517,272,603
LOC103488566,389,451,467,315,258,304,132,307
LOC103488339,103,142,196,133,58,106,100,314
LOC103488338,87,139,188,40,46,73,25,204
LOC103488337,12927,15046,17547,12854,15004,14966,18605,22277
LOC103488335,2362,2814,3183,2956,2595,2577,1198,1824
LOC103488336,910,792,967,741,608,723,461,747
TRNAS-UGA_3,0,0,0,0,0,0,0,0
LOC103488333,1244,1221,1297,1379,1465,1200,376,1172
LOC103488332,3504,3098,3581,4370,4213,3039,1334,1943
LOC103488330,4440,4753,5425,5387,4980,4903,3658,4853
LOC103488329,124,149,174,139,93,135,114,198
LOC103488328,16597,20536,24737,20859,24403,26617,30039,23971
LOC103488327,16,8,8,20,20,24,95,87
LOC103488326,2680,2812,3012,2577,2316,2518,2383,2827
LOC103488325,928,1120,1439,1093,1151,921,512,743
LOC103488323,28,10,14,6,24,12,28,68
LOC103488322,2,4,8,0,8,4,6,14
LOC103488321,143,216,203,208,219,173,129,165
LOC103488320,698,766,858,950,1099,1322,1253,2014
TRNAL-UAG_1,0,0,0,0,0,0,0,0
LOC103488319,20,4,8,8,32,16,8,24
LOC103488315,345,595,640,626,562,649,141,271
LOC103488317,4,21,26,23,8,4,30,18
LOC103488316,1085,587,673,813,812,609,603,432
LOC103488314,313,270,293,231,216,222,188,231
LOC103488313,605,436,452,533,451,318,178,186
LOC103488312,13058,9775,11928,8928,7688,10097,21662,18588
LOC103488310,2920,2284,2670,2640,2089,1799,1412,2346
LOC103488309,476,391,394,338,462,326,76,223
LOC103488305,230,493,479,571,361,363,213,347
LOC103488306,12039,12740,15236,11957,11390,11025,9815,12983
LOC103488307,2,6,14,0,6,2,6,6
LOC103488308,0,0,0,0,5,0,0,0
TRNAG-UCC_5,0,0,0,0,0,0,0,0
LOC103488303,1855,1718,2154,1274,2373,3221,1523,3197
LOC103488302,350,328,314,388,262,383,224,295
LOC103488301,291,191,259,323,624,591,386,359
LOC103488300,2487,2053,2444,1968,2499,2373,2806,2817
LOC103488299,2440,3319,4052,4363,6832,5375,978,3533
LOC103488297,3691,3889,4823,3946,4469,4530,4930,6308
LOC127148703,15,27,22,13,15,20,0,0
LOC103488295,57,24,30,10,18,24,18,27
LOC103488293,73,62,56,62,115,64,13,78
LOC103488292,2,20,18,12,25,4,12,10
LOC103488291,2,4,6,0,0,6,0,0
LOC127148474,0,0,0,0,0,0,0,0
LOC103488564,2,0,0,0,0,0,0,0
LOC103488563,0,0,4,0,0,0,0,6
LOC103488289,0,0,0,0,0,0,0,0
LOC103488288,329,402,447,458,508,512,265,110
LOC103488285,964,1284,1318,833,1189,1071,822,1648
LOC103488284,2276,2800,3111,3417,4124,3057,1329,3185
LOC103488282,433,460,449,408,448,256,171,226
LOC103488283,2886,2789,2918,2678,2976,2700,2873,2665
LOC103488281,1087,1875,1967,2315,1829,1924,807,1124
LOC103488278,1310,1677,2017,1101,461,484,92,98
LOC103488277,10,26,16,8,8,18,48,14
LOC103488276,635,579,646,744,743,769,599,728
LOC103488275,234,190,189,163,271,273,513,858
LOC103488274,1042,1421,1823,1350,1390,1510,886,1231
LOC103488273,502,545,631,468,245,213,70,119
LOC107990716,16,4,14,9,2,11,0,22
LOC103488562,74,67,69,71,37,79,25,44
LOC103488270,21,12,13,9,6,0,0,9
LOC103488269,5154,6296,7282,5444,8069,9769,10770,12970
LOC103488268,118,91,131,91,34,12,32,36
LOC103488267,47,20,36,27,88,42,51,109
LOC103488266,9,8,21,27,20,3,2,4
LOC103488265,1228,1303,1480,1668,1681,1171,275,686
LOC103488264,418,328,471,522,405,362,101,355
LOC103488263,0,0,0,0,0,4,0,0
LOC103488262,188,202,245,223,541,471,677,1515
LOC103488261,693,883,1001,950,1098,894,634,1153
LOC103488260,12,35,50,40,52,13,31,32
LOC103488258,74,65,83,82,145,73,36,56
LOC103488257,1097,1382,1550,1091,807,774,753,1016
LOC103488256,1554,1498,1651,1906,1853,2054,1400,1998
LOC103488254,188,210,202,341,366,205,139,150
LOC103488253,2153,2028,2361,2096,1748,1519,528,1505
LOC103488252,59,50,38,53,54,69,115,111
LOC103488251,482,562,737,517,402,371,343,710
LOC103488250,2151,2357,2686,2534,2021,1886,1783,2070
LOC103488248,177,158,206,223,141,118,35,64
LOC103488249,589,463,503,434,804,425,77,115
LOC103488247,1798,1320,1359,1668,2168,1863,790,1262
LOC103488246,202,138,199,284,297,222,65,111
LOC103488241,639,700,839,705,680,411,212,560
LOC103488242,682,765,903,903,453,302,193,466
LOC103488243,329,295,395,362,485,513,423,565
LOC103488245,506,451,521,610,537,563,264,671
LOC103488240,3787,4320,5265,3746,3938,4503,3886,5822
LOC103488561,83,31,44,60,56,58,0,34
LOC103488238,870,446,464,323,512,575,148,457
LOC103488237,2101,1951,2148,3944,3588,2380,1034,2456
LOC103488235,3782,3197,3873,3675,4369,3937,2357,2991
LOC103488234,2277,2547,3103,2771,2499,2361,3180,4180
LOC127148477,2,0,0,0,0,0,0,0
LOC103488233,213,201,241,103,172,110,92,162
LOC103488232,440,453,479,427,389,202,41,118
LOC103488231,187,195,194,313,175,199,142,300
LOC103488230,1781,1411,1635,1953,2002,1697,1475,2007
LOC103488228,344,289,334,377,445,264,166,254
LOC103488229,301,252,331,301,442,299,124,237
LOC103488227,0,0,0,0,0,0,0,0
LOC103488225,76,79,129,124,55,102,55,116
LOC103488224,228,271,239,100,189,353,196,569
LOC103488223,3263,2526,2863,4218,4194,3760,1300,4816
LOC103488222,2184,2154,2645,2036,1302,1296,402,1091
LOC103488221,44,45,85,34,45,11,15,30
LOC103488220,732,778,910,776,481,504,355,562
LOC103488560,644,595,762,673,831,510,221,430
LOC103488219,113,114,159,163,205,132,24,110
LOC103488218,329,433,419,588,354,432,50,114
LOC103488217,130,57,97,54,118,114,64,113
LOC103488559,0,0,6,0,0,0,0,0
LOC103488216,5420,4637,5421,4372,4177,4064,5122,7565
LOC103488215,5445,5853,6691,5804,4889,4576,2928,3319
LOC103488213,183,179,227,161,104,42,61,217
LOC103488212,470,449,500,483,482,373,446,543
LOC127148748,0,0,0,0,0,0,0,0
LOC103488211,8253,4300,5087,4043,4323,4433,5923,5952
LOC103488210,4766,3751,4682,5046,6043,6621,8290,11287
LOC103488209,34,75,58,18,26,54,8,46
LOC103488208,3022,2825,3305,3283,3139,2760,1006,1937
LOC103488207,1390,999,1422,861,711,617,557,1596
LOC103488206,608,825,873,759,672,603,765,871
LOC103488205,1449,1308,1646,1232,1007,1167,1155,1275
LOC103488204,762,776,801,840,700,424,279,463
LOC103488203,1056,900,936,1127,872,795,263,538
LOC103488202,263,296,309,358,276,231,201,259
LOC103488201,93,82,103,96,101,26,30,39
LOC103488199,1823,2412,2866,2976,2480,2276,830,1675
LOC103488197,46,72,83,40,90,28,12,43
LOC103488198,343,287,295,165,51,103,6,36
LOC103488196,1005,892,965,897,1117,1220,885,1407
LOC103488195,1699,2034,2248,1948,2194,2386,2967,2943
LOC103488194,2342,2004,2469,1789,1644,1725,2423,2676
LOC103488193,590,476,437,525,602,297,70,361
LOC103488192,4596,5890,6545,5267,6178,5667,3252,4646
LOC103488188,464,430,419,538,377,283,198,445
LOC103488189,156,205,222,129,227,235,69,368
LOC103488191,22,21,8,4,17,9,10,29
LOC103488187,838,842,1085,967,878,951,1167,1249
LOC103488186,361,850,1103,683,927,1345,604,598
LOC103488185,1619,1121,1521,1940,2360,1477,290,398
LOC103488184,1124,1013,1310,961,847,1011,1118,2907
CCD8,0,0,0,0,2,0,0,0
LOC103488183,1052,1396,1458,1488,1380,1413,429,833
LOC103488181,470,478,707,555,428,452,287,954
LOC103488180,605,727,863,961,748,678,747,940
LOC103488178,334,470,530,561,613,490,102,271
LOC103488177,104,151,112,176,146,169,53,166
LOC103488176,1051,926,1020,968,886,782,1054,1114
LOC103488175,76,88,106,109,103,139,86,248
LOC103488174,194,222,220,142,129,178,347,423
LOC103488173,1386,1379,1448,1510,1543,1418,1935,2721
LOC103488172,0,7,0,2,9,8,0,31
LOC103488171,17,33,43,43,17,22,0,2
LOC103488170,8249,9694,11255,7082,4882,5456,10013,8669
LOC103488169,2155,1876,2023,1872,1837,1257,1156,2010
LOC103488557,16,39,22,52,88,76,36,85
LOC103488167,1246,1334,1672,1773,1425,976,410,992
LOC103488166,2,2,7,3,47,31,2,31
LOC103488165,0,0,0,0,0,0,0,0
LOC103488164,3573,3386,3568,3055,2861,3154,4355,5262
LOC103488162,0,3,4,2,6,7,6,0
LOC103488163,1860,2017,2388,2230,2862,2651,1107,2142
LOC103488161,869,734,800,1068,1068,831,193,412
LOC103488159,0,4,6,0,0,0,0,14
LOC103488158,645,671,726,882,1084,815,401,783
LOC103488157,2983,2912,3271,3133,2932,3029,2158,2857
LOC103488156,458,363,468,298,743,697,210,582
LOC103488155,8734,9936,12075,10206,2183,2380,4219,2448
SUT4,283,385,387,341,440,339,119,275
LOC103488152,98,38,67,64,80,55,68,220
LOC127148480,0,0,0,0,0,0,0,0
LOC103488151,1442,1409,1692,2105,1629,1446,1176,1571
LOC103488150,985,1163,1338,1159,1379,1505,1519,1721
LOC103488149,15984,14109,16516,13704,14192,16237,18032,23717
LOC103488148,1202,1103,1194,1052,605,575,121,448
LOC103488147,1256,1073,1358,1103,906,1257,2122,2793
LOC103488146,1888,1394,1817,1664,1316,1088,456,627
LOC103488145,150,162,245,243,174,164,86,80
LOC103488144,3285,3502,4264,3654,3240,3241,2395,3755
LOC103488143,306,323,425,395,234,228,155,257
LOC127148482,10496,9070,10327,9572,8758,9636,16728,15424
LOC103488141,892,557,707,841,671,748,430,782
LOC103488137,2362,2212,2552,3053,2714,2401,2296,2375
LOC103488138,2040,1696,1684,2162,2714,2146,1595,2903
LOC103488140,225,279,277,396,301,255,14,125
LOC103504228,394,249,298,357,382,402,1064,218
LOC103488555,58,36,43,18,18,44,47,3
LOC103488136,373,645,765,451,936,1027,447,1075
LOC103488134,2601,2215,2600,2342,2553,3127,4857,4674
LOC103488133,1180,1297,1597,1754,1682,1002,416,629
LOC103488132,2248,2289,2682,1844,2018,2993,5216,6273
LOC103488130,3481,2151,2628,7273,8070,5338,2433,6698
LOC103488129,170,376,423,307,234,205,228,384
LOC127148485,4,0,0,0,0,0,0,0
LOC127148486,0,0,0,0,0,0,0,0
LOC127148487,0,0,0,0,0,0,0,0
LOC103488128,344,247,279,281,429,314,52,362
LOC103488127,2124,1998,2206,2535,2522,1941,1157,1906
LOC103488125,699,868,943,938,1100,1058,690,847
LOC103488126,1577,1476,1924,2633,2408,1827,899,1473
LOC103488124,356,354,518,525,365,265,94,102
LOC103488122,964,1307,1517,1407,1579,1468,853,1066
LOC103488121,866,1042,1177,1188,1164,1072,212,965
LOC103488120,600,517,648,879,695,650,304,604
LOC103488119,2308,2000,2176,1422,1070,1276,1420,1425
LOC103488118,789,730,983,714,536,514,484,677
LOC103488117,129,180,210,164,106,102,39,26
LOC103488116,784,734,872,779,845,772,719,1103
LOC103488115,1987,1790,2136,2186,2384,2391,1203,2447
LOC103488114,1097,1088,1354,1162,913,628,420,498
LOC103488113,109,93,140,128,142,110,35,94
LOC103488112,13161,13937,16043,13338,14324,17343,28388,20977
LOC103488111,4925,5092,5691,6016,5269,4082,2003,3391
LOC103488109,1,1,0,8,0,0,0,4
LOC103488110,113,97,153,87,122,72,108,89
LOC103488107,461,458,571,607,732,694,514,593
LOC103488106,510,575,598,572,551,396,90,215
LOC103488104,12238,12014,13989,12673,11106,11339,6027,11309
LOC103488103,159,158,130,120,159,131,24,109
LOC103488101,114,97,202,81,91,226,159,248
LOC103488100,11,18,4,10,4,9,0,12
LOC103488099,3631,3089,3951,3378,3876,4387,3440,5193
LOC103488098,2547,1690,2102,1571,1244,1138,790,1087
LOC103488096,0,0,0,0,0,0,0,0
LOC103488095,1234,1182,1520,1445,1087,1196,699,977
LOC103488093,283,359,516,426,512,377,163,308
LOC103488094,610,624,682,785,720,548,287,617
LOC103488092,7570,8344,9510,7977,5289,5318,2271,6222
LOC103488091,1231,626,745,623,1279,1199,513,1623
LOC103488089,975,829,856,1289,1372,1187,475,1021
LOC103488553,1559,1508,1501,1254,1300,1462,1330,1754
LOC103488088,367,458,544,360,659,853,728,797
LOC103488087,194,322,282,437,545,452,223,320
LOC103488086,119,154,122,127,146,91,12,98
LOC103488552,1,7,7,8,0,4,0,5
LOC103488082,0,0,2,0,0,0,0,0
LOC103488083,425,359,483,493,364,407,309,274
LOC103488085,457,462,594,566,603,512,207,462
LOC103488081,641,1034,1317,1179,1565,1468,559,1551
LOC103488080,8307,6751,7496,7808,5751,5640,10917,8327
LOC103488079,4979,5117,6223,5392,6079,6661,5856,7982
LOC103488078,154,26,57,70,51,58,37,86
LOC103488076,92,68,172,157,135,103,124,159
6E04,18227,15319,18426,13941,14314,16296,32270,27583
LOC103488074,24156,32703,38450,29565,31154,31881,31826,33865
LOC103488073,4771,4872,5347,5050,1927,1469,1080,1952
LOC103488072,2173,2946,3475,2158,2435,2598,4078,5352
LOC103488071,628,502,603,665,754,649,442,562
LOC103488070,8795,6354,7123,4074,2509,3099,6648,6526
LOC103488069,302,417,474,527,687,681,529,595
LOC103488068,105,60,66,54,63,52,69,75
LOC103488067,817,719,884,842,621,858,830,992
LOC103488066,3242,3385,3933,3268,4240,4242,4433,5735
LOC103488065,127,185,176,174,200,172,92,221
LOC103488064,2063,1639,2066,1601,1957,2080,2094,2932
LOC103488063,180,191,266,317,277,161,137,217
LOC103488061,1003,902,1028,945,823,989,1507,1937
LOC103488060,407,506,617,573,685,518,200,446
LOC103488059,147,136,223,174,153,104,10,86
LOC103488058,0,0,14,10,0,0,4,0
LOC103488056,9952,9838,11511,12230,7238,6916,7608,8049
LOC103488055,4644,6372,7378,6633,5790,5469,1785,2641
LOC103488054,256,251,329,345,326,316,66,68
LOC103488053,755,579,774,1142,1065,1074,1446,2240
LOC103488052,2303,2159,2686,2989,3001,3430,2523,5548
LOC127148735,11,13,8,28,21,22,46,26
LOC103488051,534,383,472,384,627,523,302,366
LOC103488050,7268,6508,8285,6450,6586,8063,8688,16485
LOC103488049,229,196,208,114,213,144,80,230
LOC103488048,61,36,30,64,47,55,42,84
LOC127148491,4,3,9,0,1,0,0,0
LOC107990718,33,34,48,46,47,54,5,7
LOC103488044,225,190,183,255,263,173,73,183
LOC103488042,2506,1749,1784,2196,3065,3279,3687,5067
LOC103488043,198,271,262,218,144,99,71,66
TRNAE-CUC_1,0,0,0,0,0,0,0,0
LOC103488041,2241,1948,2307,3993,2180,2349,3703,6746
LOC103488040,30,18,36,14,18,13,0,9
LOC103488037,673,858,979,836,705,776,449,620
LOC103488036,260,270,261,224,152,96,49,111
LOC103488035,185,118,134,135,78,136,16,113
LOC103488034,892,1392,1566,1348,818,854,289,433
LOC103488033,974,1017,936,1247,2200,1834,1165,2024
LOC103488031,16,19,31,26,10,20,16,2
LOC103488030,2576,2205,2494,2521,1978,1581,947,2056
LOC103488029,2081,1984,2356,2675,2069,1922,668,1262
LOC127148742,37,55,87,55,57,71,63,117
LOC127148732,43,52,81,47,43,49,43,60
LOC127148743,108,94,97,99,82,104,88,106
LOC127148733,64,85,112,89,55,71,62,102
LOC103488028,3578,2945,3441,3831,4504,4009,2389,4059
LOC103488027,712,798,989,1007,1169,1112,867,1562
LOC103488026,30,90,133,69,66,92,62,64
LOC103488025,1608,1706,1970,1829,1602,1531,740,1334
LOC103488024,10128,9620,11294,8309,11608,14339,22740,26437
LOC103488019,5311,5892,6723,5319,6761,8228,8481,9200
LOC103488020,2249,1564,1703,1543,1428,1612,1228,1833
TRNAE-CUC_2,0,0,2,0,1,1,0,0
LOC103488022,325,324,390,433,495,425,317,545
LOC103488023,7,27,42,16,8,20,0,4
LOC107990711,2,4,4,0,14,0,0,2
LOC103488018,61,79,86,96,72,80,14,72
TRNAE-CUC_3,0,0,0,0,0,0,0,0
LOC103488551,0,0,0,0,0,0,0,0
LOC103488017,5626,4533,5068,4948,6144,6049,5148,7032
LOC103488016,10,12,12,18,4,14,2,9
LOC103488550,21,49,42,36,41,67,10,25
LOC103488015,1269,1084,1153,1018,1747,1855,1301,2781
LOC103488014,1268,1510,1758,1845,2043,1757,523,1471
LOC103488549,0,0,0,0,0,0,0,0
LOC103488013,692,919,1023,619,455,518,1208,996
LOC103488012,129,132,131,192,111,148,170,100
LOC103488010,6,9,23,26,14,6,62,82
LOC103488009,1031,1264,1355,979,1638,1815,1251,2767
LOC103488008,69347,43325,50708,41997,44131,51308,118208,80965
LOC103488007,963,927,988,816,917,987,767,1565
LOC103488006,759,865,975,1019,1157,864,366,1219
LOC103488003,129,183,206,169,314,199,95,107
LOC103488001,331,212,330,288,306,289,143,350
LOC103488000,3010,3452,4020,3505,3449,3237,2253,2812
LOC103487997,2943,3148,3448,3131,2614,2683,2046,2239
LOC103487998,12,4,0,0,0,2,0,0
LOC103487996,346,328,412,432,486,370,82,191
TRNAL-CAA_5,0,0,0,0,0,0,0,0
LOC103487995,1359,1218,1293,978,492,680,776,695
LOC103487994,1817,1587,1964,1996,2168,2539,2138,3294
LOC103487993,57,47,108,84,83,112,72,119
LOC103487992,792,853,974,994,1063,1029,702,888
LOC103487990,112,113,100,110,125,68,15,68
LOC103487989,240,267,365,412,249,237,138,288
LOC103487988,36,26,27,29,48,4,4,58
LOC127148704,724,813,910,576,417,593,682,2293
TRNAE-UUC_4,0,0,0,0,0,0,0,0
LOC103487987,4754,5193,5994,4873,3848,4736,6254,6635
LOC103487986,710,1092,1243,1651,2641,2255,1213,2932
LOC103487985,9105,10682,12264,10733,10172,9801,10311,10537
LOC103487983,533,729,930,658,669,704,511,701
LOC103487984,110,72,124,164,133,85,27,38
LOC103487982,373,418,468,472,257,206,173,196
LOC103487980,72,50,61,20,36,63,18,24
LOC103487979,194,115,138,223,191,184,147,591
LOC103487978,1096,1135,1341,523,608,693,1871,2060
LOC103487977,71,50,43,36,11,20,30,22
LOC103487976,5194,5220,6337,4846,5666,6306,4611,9543
TRNAN-GUU_5,0,0,0,0,0,0,0,0
LOC103487975,11,16,38,6,34,40,26,38
TRNAA-AGC_3,0,0,0,0,0,0,0,0
LOC103487974,0,4,0,0,0,0,0,0
LOC103487973,18,13,31,58,109,102,128,92
LOC103487972,1687,1640,1710,1441,1202,1405,2497,2058
LOC103487971,172,167,198,176,217,171,92,230
LOC103487969,892,782,922,985,1013,807,272,764
LOC103488545,0,0,0,2,0,4,0,0
LOC103487968,0,2,12,4,14,2,0,0
LOC103487967,1681,2191,2167,1697,1451,1702,1507,1445
LOC103487965,1287,1634,1927,1815,1589,1586,1228,1956
LOC103487964,3804,3626,4287,5192,4946,4670,2091,3915
TRNAE-UUC_5,0,0,0,0,0,0,0,0
LOC103487962,1778,2561,3098,2975,2292,2208,1201,1388
LOC103487963,1150,1326,1631,1146,647,970,1343,1040
LOC103487961,780,901,1213,1317,1173,1184,1094,1119
LOC103487960,1688,1690,1927,1648,1462,1510,1281,1892
LOC103487956,88,89,61,88,92,110,41,67
LOC103487957,611,531,555,666,317,305,50,154
LOC103487958,2822,3013,3793,2589,3384,3918,2607,4421
LOC103487955,354,318,350,225,425,599,623,787
LOC103487954,1308,1151,1374,1401,1073,1180,1503,1707
LOC103487953,1997,1967,2335,2237,2451,2634,2006,3120
LOC103487951,8,8,15,3,13,13,4,2
LOC103487952,346,491,614,671,715,732,473,1250
LOC103487949,380,397,511,392,511,399,319,447
LOC103487948,1150,819,1003,1119,1169,961,246,570
LOC103487947,788,871,1138,1048,943,849,445,884
LOC103487946,3661,3229,3952,4036,3880,2974,1722,2546
LOC103487945,33,54,37,48,37,30,29,120
LOC103487944,953,549,667,810,704,720,422,686
LOC103487943,52,33,54,38,47,70,38,91
LOC103487942,2200,1654,1993,1723,1192,1757,2664,2930
LOC103487940,60,103,108,47,47,74,65,217
LOC103487938,108,33,99,81,35,55,81,26
LOC103487939,1710,1426,1613,1802,2106,1497,1163,1274
LOC103487937,742,736,959,902,682,628,766,1061
LOC103487936,136,199,290,178,106,169,84,175
LOC103487935,2566,2262,2663,1652,1327,1346,980,937
LOC103487934,261,228,267,212,347,368,285,450
LOC103487933,24,25,65,54,38,44,73,75
LOC103487932,59,58,59,104,83,87,15,16
LOC103487931,1851,1893,2284,1850,2181,2029,1270,2055
LOC103487930,149,213,265,157,82,128,102,199
LOC103487929,12644,12556,15579,11460,15992,19306,21605,21759
LOC103487928,195,176,168,122,310,236,166,155
LOC103487927,16,24,10,12,16,6,0,12
LOC103487925,124,108,201,111,71,29,115,81
LOC103487924,1459,1433,1710,1438,1244,1220,1629,2332
LOC103487923,458,425,600,465,597,588,306,658
LOC103487921,432,428,504,387,356,362,262,155
LOC127148705,24,53,24,31,55,12,26,24
LOC103487919,283,261,277,385,256,256,151,205
LOC103487918,1316,1205,1335,1659,1155,1173,3888,2604
LOC103487915,0,0,0,0,3,0,0,0
LOC103487917,159,162,218,141,136,96,27,143
LOC103487914,3077,3228,4079,3520,3022,2670,1681,2977
LOC103487913,542,637,748,789,883,818,431,817
LOC103487912,98,67,72,54,84,72,14,72
LOC103487911,103,63,88,66,41,60,50,84
LOC127148758,0,3,2,0,6,6,14,6
LOC103487910,63,64,137,58,134,195,125,229
LOC103487909,5176,5385,6428,5842,5378,5780,4243,4343
LOC103487908,58,28,14,21,70,40,49,142
LOC103487907,152,165,158,218,148,215,295,257
LOC103487906,1680,1636,1973,1560,1309,1362,1135,1708
LOC103487905,593,730,766,837,707,631,353,436
LOC103487904,140,186,151,182,50,108,46,16
LOC103487903,185,191,229,275,223,191,125,63
LOC103487901,19,33,44,40,25,19,10,28
LOC127148495,1,0,0,0,2,0,0,0
LOC127148496,10,11,2,2,0,2,6,2
LOC103487900,781,878,916,838,974,838,551,866
LOC103488544,57,48,56,113,144,82,10,185
LOC103488543,1467,1330,1425,1003,2073,2445,1008,4291
LOC103487897,4,22,12,8,30,6,18,14
LOC127148497,2,0,0,0,1,2,12,0
LOC103488542,161,154,157,87,182,58,85,148
LOC127148498,0,0,0,0,0,0,0,0
LOC103487894,203,171,213,108,102,173,198,260
LOC103487893,0,8,6,8,5,7,0,0
LOC103487891,188,217,265,348,271,155,73,98
LOC103487892,6,26,10,10,21,7,6,8
LOC103487890,12,44,45,71,77,43,2,38
LOC103487889,3552,2898,3303,2796,1859,1430,817,1750
LOC103487888,4,1,2,0,0,0,0,0
LOC127148706,0,0,0,0,0,0,2,0
LOC103487887,112,25,47,4,26,71,56,47
LOC103488540,0,1,2,5,0,0,0,0
LOC103487885,2,0,0,2,0,0,0,0
LOC103487884,0,9,1,2,0,0,0,0
LOC103487883,1476,1497,1717,2077,2171,1722,768,1670
LOC103487882,1208,1659,1894,1857,1632,1196,572,1021
LOC103487880,22,31,30,31,32,28,20,26
LOC103487881,52,78,64,47,131,56,77,134
LOC103487879,5326,5212,5679,3297,2019,2119,3060,4614
LOC103487876,20422,22160,25770,16777,18724,21022,29045,32057
LOC103488539,15534,20081,23114,17019,19899,22320,25842,28375
LOC103487875,552,627,739,762,743,540,247,401
LOC103487874,385,331,301,427,526,453,129,267
LOC103487873,6703,6621,7455,7503,6185,5026,2325,4484
LOC127148499,132,94,147,129,139,77,16,51
LOC103487871,215,341,346,206,226,208,170,696
LOC103487870,1567,1304,1537,1608,1208,1614,4381,3408
LOC103487868,2369,2640,2894,2774,2800,2696,2373,2920
LOC103487867,7095,7467,8601,6317,3936,4935,6407,7279
LOC103487866,3593,3675,4475,4055,3693,3841,2412,3708
LOC103487865,2382,2744,3320,1541,2063,2032,1904,3842
LOC103487864,0,0,0,0,0,0,0,0
LOC127148707,0,0,0,0,0,0,0,0
LOC127148708,2,0,0,4,2,0,0,0
LOC103487863,1733,1190,1386,1118,1221,1290,1850,1593
LOC103488538,69,39,57,35,15,28,15,34
LOC103487862,427,446,506,332,303,326,597,484
LOC103487861,1503,1589,2084,2489,1503,1271,954,1160
LOC127148709,0,4,1,0,0,2,0,2
LOC103487860,361,281,368,254,524,442,132,399
LOC103487858,6,0,0,0,0,0,0,0
LOC103487857,20,16,4,2,0,12,0,0
LOC127148500,10,2,2,0,6,4,0,2
LOC103487855,49,59,112,93,173,187,166,405
LOC103487854,12,18,20,10,2,40,61,119
LOC103487853,1244,1303,1460,1728,1498,1478,591,1336
LOC103487852,28,32,18,22,48,19,0,2
LOC103487851,834,702,716,674,480,568,487,692
