# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "8" "-p" "-a" "../Indices/USDA_Cmelo_AY_1.0/GCF_025177605.1_USDA_Cmelo_AY_1.0_genomic.gtf" "-o" "../Quantification/USDA_Cmelo_AY_1.0/GCF_025177605.1_USDA_Cmelo_AY_1.0.txt" "CK21_FR.bam" "CK22-1_FR.bam" "CK22-2_FR.bam" "CK23_FR.bam" "T21_FR.bam" "T22_FR.bam" "T23_FR.bam" "T24_FR.bam" 
Geneid,CK21_FR.bam,CK22-1_FR.bam,CK22-2_FR.bam,CK23_FR.bam,T21_FR.bam,T22_FR.bam,T23_FR.bam,T24_FR.bam
LOC103495286,6,4,6,7,2,0,9,6
LOC103495288,3254,2940,3266,3441,3381,3330,2100,2426
LOC103495289,72,118,197,158,169,140,18,76
LOC103495290,1366,1124,1327,1565,2062,1634,495,1868
LOC103495291,95,175,170,129,94,102,64,56
LOC107991337,646,555,727,416,442,467,261,1674
LOC103495292,1621,2301,2735,1220,1753,2242,3662,6513
LOC103495672,3,0,1,0,0,0,0,4
LOC103495293,499,923,982,828,1166,1371,677,1089
LOC103495294,430,377,550,433,530,375,245,468
LOC103495295,3729,2683,3107,2924,1121,1295,665,908
LOC103495299,1250,1017,1143,1163,862,874,1365,1110
LOC103495298,4,2,6,0,2,0,0,0
LOC103495297,11536,11158,12325,8578,8199,9403,9319,15178
LOC103495296,1355,1547,1724,1233,1347,1306,1496,1935
LOC103495300,9128,9669,11066,7918,9221,12363,11844,12581
LOC103495301,541,690,775,1016,924,767,384,508
LOC103504520,1955,967,919,758,713,916,2414,1001
LOC103495302,1797,1857,1979,2288,2685,2204,1226,1498
LOC103495304,1919,1886,2543,2078,1818,1958,1240,1069
LOC103495305,0,0,8,6,0,2,0,0
LOC103495306,5771,6347,7963,6468,6857,7261,4459,7371
TRNAN-GUU,0,0,0,0,0,0,0,0
LOC103495307,916,890,967,845,606,594,91,226
LOC103495308,847,866,953,1023,1102,913,389,771
LOC103495309,358,353,377,465,434,263,110,124
LOC103495673,0,6,0,0,0,0,20,0
LOC103495310,5387,5456,6539,5846,5271,5927,4714,6355
LOC103495311,3,4,18,9,3,20,10,5
TRNAP-UGG,2,0,2,0,0,4,0,0
TRNAP-UGG_1,0,0,0,0,1,0,0,0
TRNAP-AGG,0,0,0,0,0,0,0,0
TRNAP-UGG_2,0,0,0,5,0,0,0,0
TRNAP-AGG_1,0,0,0,0,0,0,0,0
TRNAP-CGG,0,0,0,0,0,0,0,0
TRNAP-UGG_3,0,0,0,0,0,0,0,0
TRNAP-AGG_2,0,0,0,0,0,0,0,0
TRNAP-UGG_4,0,0,0,5,0,0,0,0
LOC107991339,35,23,43,35,11,16,0,8
LOC103495314,658,573,639,779,934,558,248,634
LOC103495315,1849,1450,1633,1187,1129,1304,2813,3598
LOC103495317,24,40,39,3,29,81,68,109
LOC103495318,0,0,0,0,0,0,0,0
LOC103495319,4,4,0,0,9,0,0,2
LOC103495320,1025,926,1056,885,830,759,790,862
LOC103495322,157,197,304,249,215,209,167,179
LOC103495323,281,331,412,356,343,324,254,585
LOC103495324,1026,1436,1805,1210,1192,1134,1361,2148
LOC103495325,2097,2074,2246,2213,1962,2086,1482,2540
LOC103495326,0,0,0,0,0,0,0,0
LOC103495327,0,0,0,0,0,0,0,0
LOC103495328,0,0,0,0,0,0,0,0
LOC103495329,191,901,1005,702,528,546,116,294
LOC127149020,0,0,0,0,0,0,0,0
LOC103495331,0,14,20,2,22,20,16,6
LOC103495330,10,25,20,12,34,8,8,0
LOC103495332,0,0,0,1,0,0,0,0
LOC103495333,26,28,58,44,12,44,10,17
LOC103495334,0,0,0,0,0,0,0,0
LOC103495335,0,0,0,0,0,0,0,0
TRNAA-UGC,0,0,0,0,0,0,0,0
LOC103495337,75,118,98,81,32,14,12,44
LOC103495338,3361,3687,4428,3897,4558,4211,2079,3491
LOC127144076,0,0,0,0,0,0,0,0
LOC103495339,1427,1261,1410,1994,1901,1533,722,1212
LOC103495674,1628,1323,1557,1235,1623,1561,871,1105
LOC103495340,210,147,198,291,282,236,34,24
LOC103495341,2615,3790,4534,3536,4875,5691,3276,3474
LOC103495342,34,48,24,92,169,154,24,71
LOC103495343,667,541,712,681,952,1117,1694,1791
TRNAV-AAC,0,0,0,0,0,0,0,0
LOC103495348,1009,1076,1198,930,1208,1186,500,1061
LOC103495347,813,971,1078,1136,1149,996,398,851
LOC103495346,95,125,181,192,141,160,33,55
LOC103495344,1246,1692,1717,1812,1944,1614,449,1036
LOC103495350,1128,1048,1237,1188,1191,1188,565,743
LOC103495351,1875,1166,1454,1180,1212,1525,1818,2850
LOC103495352,3641,2459,3007,2354,2140,2557,3983,6258
LOC103495353,899,741,960,800,790,641,381,727
LOC103495354,667,647,787,711,632,553,301,634
LOC103495355,7067,5126,5843,4862,3258,2836,1688,1966
LOC103495356,518,564,606,682,1051,1201,1279,1743
LOC103495357,524,492,616,767,814,617,334,594
LOC103495358,424,364,449,580,654,608,178,575
LOC103495361,2763,2761,3362,3014,2978,3502,3101,3010
LOC103495360,1590,2179,2450,2304,2650,3003,1863,2266
LOC103495362,606,648,652,720,663,552,274,597
LOC103495363,1448,1510,1855,1499,1344,1520,1351,2005
LOC103495364,539,549,663,861,668,493,302,389
LOC103495365,816,853,994,919,755,956,585,993
LOC103495366,1296,1655,1742,1962,1608,1661,672,1068
LOC103495369,355,280,428,210,403,364,211,264
LOC103495370,2327,2021,2345,3313,2785,2220,2053,1797
LOC103495371,660,805,887,944,304,325,105,204
LOC103495372,3447,3371,3480,3875,5083,4366,1275,3653
LOC103495373,142,175,193,152,119,97,79,108
LOC103495374,1413,1441,1702,1642,1854,1650,868,1557
LOC103495376,381,348,311,258,313,260,361,404
LOC103495377,1047,1023,1286,1299,1498,1380,304,670
LOC103495378,123,117,143,255,198,161,34,42
LOC103495379,3812,4052,4860,5153,4373,3031,635,1620
LOC103495679,1864,1824,2106,1660,1073,1128,1157,1452
LOC103495380,10097,10221,12835,11172,8998,10091,12706,11392
LOC103495381,1382,1000,1134,998,897,1095,983,1084
LOC103495680,826,780,773,620,173,284,265,565
LOC103495382,5288,5173,5831,3586,3406,4684,4849,5112
LOC103495384,47,35,51,79,17,33,0,42
LOC127149075,193,242,169,234,377,327,93,334
LOC103495385,554,599,673,587,825,735,511,747
LOC103495386,23,40,24,45,18,39,0,10
LOC103495387,77,74,90,108,141,91,14,58
LOC103495681,0,0,0,0,0,0,0,0
LOC103495389,3593,3148,4005,2956,3040,3058,1160,2967
LOC103495390,2014,2019,2320,3763,3305,2627,1602,2649
LOC103495391,1465,1355,1608,1575,1731,1630,1391,1786
LOC103495392,1874,1787,2121,1476,1811,1613,759,2176
LOC103495393,334,310,375,397,370,369,188,415
LOC103495394,842,882,1058,954,782,810,389,707
LOC103495395,598,789,912,1149,1111,898,371,614
LOC103495397,1095,1111,1292,1306,1111,1096,1102,1676
LOC103495396,841,829,825,913,736,759,354,488
LOC103495399,2,0,0,0,0,4,0,0
LOC103495403,79,112,56,118,71,113,58,45
LOC103495404,166,155,200,203,261,123,103,129
LOC103495405,2367,2446,2598,2568,2602,2376,2152,2796
LOC103495406,1681,1308,1638,1405,1469,1200,1063,1015
LOC103495407,443,462,532,536,554,296,61,184
LOC103495417,2441,2146,2466,2705,1585,1542,770,1630
LOC127149091,0,0,0,0,0,0,0,0
LOC127149092,0,0,0,0,0,0,0,0
LOC103495416,10,0,2,17,3,18,4,1
LOC103495415,3,10,7,17,0,4,0,3
LOC103495413,191,170,205,281,300,266,34,241
LOC103495410,68,45,49,99,92,42,12,69
LOC103495419,438,359,471,474,675,342,91,397
LOC103495420,860,1023,1194,1098,1093,907,260,481
LOC103495421,1583,1767,1985,1657,1472,1388,896,1295
LOC103495422,538,676,755,575,277,277,70,115
LOC103495423,347,385,400,351,317,353,133,236
LOC103495424,5239,6044,7301,6176,6050,5705,3011,5156
LOC103495426,3084,3445,4091,3859,2697,2876,1631,2739
LOC103495427,5368,6421,7560,7490,7397,6974,6540,8495
LOC103495428,0,2,4,6,24,4,0,0
LOC103495429,2538,2365,2808,2516,2553,2469,1189,2091
LOC103495430,1482,1144,1554,1265,1716,1705,298,1293
LOC103495431,6844,6552,7553,6321,5450,6263,6075,10021
LOC103495433,500,694,646,715,964,641,73,175
LOC103495434,545,451,489,530,669,630,292,499
LOC103495435,552,701,748,801,681,759,591,857
LOC103495436,246,219,302,426,497,284,74,156
LOC103495682,1,0,0,0,0,2,0,0
LOC103495437,12500,8641,10171,9331,12076,12606,8432,12295
LOC103495438,2480,2802,3172,2779,2975,3996,5438,5720
LOC103495683,86,93,86,47,12,20,46,102
LOC103495439,53,29,52,56,75,49,40,30
LOC107991351,0,0,1,6,0,1,0,0
LOC103495442,4728,7254,8724,6474,6395,7128,4069,4054
LOC127149106,29,24,29,9,22,11,30,9
LOC127144344,0,0,0,0,0,0,0,0
LOC127144343,0,0,0,0,0,0,0,0
LOC127144345,0,0,0,0,0,0,0,0
LOC103495445,4777,4327,4933,4476,4673,4118,3635,4058
LOC103495443,276,226,225,296,373,191,58,216
LOC103495446,3355,3150,3436,4090,2472,2309,970,1315
LOC103495447,705,896,922,1124,1419,1102,135,524
LOC103495685,0,4,0,0,0,0,0,6
LOC103495448,4017,4994,5540,5824,4799,4916,5176,5948
LOC127149114,0,0,0,0,0,0,0,0
LOC127149113,0,0,0,0,0,0,0,0
LOC127149115,0,1,0,0,0,0,0,0
LOC103495449,6384,8006,9177,7085,7350,9125,13795,13322
LOC103495451,885,723,862,741,686,666,896,1061
LOC103495452,1215,1043,1180,1211,1101,1155,1148,1328
LOC103495453,1454,1502,1590,1565,1154,1477,1011,1302
LOC103495454,621,518,683,294,368,561,810,1236
LOC103495455,13,11,9,28,36,17,6,0
LOC103495456,3949,4039,4262,5178,5158,4188,2249,3519
LOC103495457,16,26,33,24,47,36,26,66
LOC107991347,110,82,94,118,95,72,21,87
LOC103495458,2758,2636,2759,2901,2687,2632,2258,3168
LOC103495459,513,730,760,864,747,753,190,274
LOC103495460,2415,2192,2332,2287,3328,3896,1287,7658
LOC103495461,785,894,837,876,808,795,814,1052
LOC103495462,41823,36789,43666,25138,37097,46821,42392,65664
LOC103495463,2,14,0,12,12,30,30,10
LOC103495464,6,14,6,2,0,4,0,4
TRNAE-CUC,0,0,0,0,0,0,0,0
LOC103495466,108,124,113,145,68,100,9,80
LOC103495467,959,892,1131,1344,1321,891,254,648
LOC103495468,593,594,834,926,861,742,213,374
LOC103495470,1798,1255,1516,1174,1633,1588,1353,2163
LOC103495469,0,2,4,7,18,4,3,6
LOC103495476,3631,8755,10294,7559,4262,4342,888,713
LOC103495475,3039,2490,3132,3069,2264,1833,1271,2677
LOC103495473,47,58,64,27,39,21,6,34
LOC103495472,14056,17569,20432,18742,22599,21159,17593,20183
LOC103495471,1050,988,1296,1300,997,874,462,917
LOC103495688,2,0,0,0,0,0,0,0
LOC103495687,0,0,0,0,0,0,0,0
LOC103495689,0,0,0,0,0,0,0,0
LOC103495477,14,24,28,10,18,2,62,106
LOC103495478,1503,1791,2068,1741,1524,1834,2787,3079
LOC103495479,207,321,275,292,229,206,64,37
LOC103495480,257,183,327,317,295,238,84,80
LOC103495482,10649,8430,9393,8724,6285,4983,3991,4765
